iter	Passed	Remaining
0	10	1033
1	19	976
2	30	989
3	39	951
4	49	936
5	57	908
6	66	879
7	75	862
8	84	856
9	94	854
10	104	844
11	113	832
12	123	826
13	133	823
14	146	829
15	156	819
16	165	810
17	176	806
18	185	791
19	193	775
20	203	766
21	212	754
22	221	742
23	230	730
24	240	721
25	250	711
26	259	702
27	269	693
28	278	682
29	287	671
30	297	661
31	306	651
32	315	640
33	324	630
34	334	620
35	342	609
36	351	599
37	360	588
38	369	578
39	378	567
40	388	559
41	398	549
42	407	539
43	415	529
44	425	519
45	436	511
46	445	502
47	455	493
48	465	484
49	475	475
50	485	466
51	495	457
52	504	447
53	514	437
54	522	427
55	531	417
56	539	407
57	548	396
58	556	386
59	562	374
60	570	364
61	579	355
62	588	345
63	597	335
64	605	326
65	614	316
66	623	307
67	631	297
68	640	287
69	649	278
70	657	268
71	667	259
72	676	250
73	685	240
74	693	231
75	702	221
76	711	212
77	721	203
78	730	194
79	739	184
80	748	175
81	757	166
82	765	156
83	773	147
84	782	138
85	790	128
86	799	119
87	809	110
88	818	101
89	826	91
90	834	82
91	842	73
92	851	64
93	860	54
94	870	45
95	881	36
96	890	27
97	898	18
98	906	9
99	915	0
